"Obs","Name","Type","numobs","nmiss","per_miss","unique","mean_or_top1","min_or_top2","p1_or_top3","p5_or_top4","p25_or_top5","median_or_bot5","p75_or_bot4","p95_or_bot3","p99_or_bot2","max_or_bot1"
399,"MTN001","integer",895720,0,"0%",26,"0.654493591747421","0","0","0","0","1","1","2","3","36"
400,"MTM1002","integer",895720,389444,"43%",415,"60.9282486232806","0","3","7","28","46","81","154","214","999"
401,"MTP1001","integer",895720,390020,"44%",205,"309.167577615187","1","72","180","240","360","360","360","480","996"
402,"MTP1002","integer",895720,390298,"44%",7784,"1616.93370886111","1","274","530","990","1412","1976","3200","4932.78999999998","1297937"
403,"MTC1003","integer",895720,895525,"100%",51,"102581.538461538","1000","9700","15000","30000","50000","1e+05","350000","1e+06","1500000"
404,"MTM2002","integer",895720,831117,"93%",378,"87.7104933207436","0","7","18","44","80","125","161","250","999"
405,"MTP2001","integer",895720,831279,"93%",114,"301.408745984699","1","60","144","180","360","360","360","480","780"
406,"MTP2002","integer",895720,831353,"93%",4884,"1326.77782093309","1","58","200","620","1097","1722","3082","4922.35999999999","241728"
407,"MTC2003","integer",895720,895624,"100%",35,"74795.8333333333","5400","14520","20000","35000","50000","82500","250000","3e+05","3e+05"
408,"MTM3002","integer",895720,885803,"99%",302,"93.8557023293335","1","10.16","25","48","96","130","163","250","999"
409,"MTP3001","integer",895720,885827,"99%",70,"303.260891539472","1","60","168","180","360","360","360","480","732"
410,"MTC3001","integer",895720,885810,"99%",9703,"143088.096569122","0","3327.36","13113","49012.75","101791.5","186292.25","381271.8","751281.719999999","4275000"
411,"MTC3002","integer",895720,885803,"99%",4638,"177308.9953615","725","10516","27000","73000","132000","223000","417000","886720.000000001","9999999"
412,"MTT3001","character",895720,885806,"99%",18,"::885806","CV::7983","SM::1071","FR::374","VM::182","CE::1","CI::1","US::1","GS::1","LN::1"
413,"MTP3002","integer",895720,885838,"99%",3027,"1265.54240032382","4","56","200","573","984","1622","3107.9","5298.40000000003","23550"
414,"MTC3003","integer",895720,895705,"100%",14,"171586.666666667","15000","15252","16260","27000","40000","87500","729999.999999999","1346000","1500000"
415,"HEM1002","integer",895720,770821,"86%",350,"68.5804850319058","0","2","5","23","60","108","153","187.020000000004","999"
416,"HEP1001","integer",895720,871830,"97%",357,"151.265969024697","0","5","10","84","144","181","360","361","960"
417,"HEC1001","integer",895720,772605,"86%",66714,"48222.2092190229","0","0","0","8051.5","27591","60528","167496.5","309987","3003091"
418,"HEC1002","integer",895720,770909,"86%",55143,"65128.4469077245","0","0","0","20497","41148","80000","2e+05","390417.399999999","9999999"
419,"HET1001","character",895720,770827,"86%",7,"::770827","HE::115368","RL::4146","HI::3643","SM::1243","RL::4146","HI::3643","SM::1243","SI::425","FI::68"
420,"HEP1002","integer",895720,794314,"89%",2611,"371.385036388379","0","7","29","103","218","432","1055","1877.95","461321"
421,"HEC1003","integer",895720,799280,"89%",235,"99033.7505184571","0","10000","16100","38000","65000","125000","250000","5e+05","1500000"
422,"HEM2002","integer",895720,887521,"99%",276,"95.1686791072082","0","6","16","47","101","133","171","223.02","999"
423,"HEP2001","integer",895720,893554,"100%",126,"175.227146814404","0","5.65","15","120","180","240","360","361","480"
424,"HEC2001","integer",895720,888416,"99%",5457,"50987.7452081051","0","0","0","1855","23195.5","67178.5","192552.8","386616.540000002","2020163"
425,"HEC2002","integer",895720,887528,"99%",4983,"76334.5323486328","0","0","0","19923.5","48000","99999","244642.3","470098.620000001","2200000"
426,"HET2001","character",895720,887524,"99%",7,"::887524","HE::7350","HI::370","RL::350","SM::116","HI::370","RL::350","SM::116","SI::9","FI::1"
427,"HEP2002","integer",895720,890153,"99%",1448,"593.887012753727","0","9.66","36","122","297","657","1477.7","2666.1","160207"
428,"HEC2003","integer",895720,889867,"99%",204,"91626.037929267","0","5000","10760","27000","50000","1e+05","250000","5e+05","1500000"
429,"HEM3002","integer",895720,895153,"100%",171,"105.003527336861","1","8.98","23.3","67","110","141","167","221.34","323"
430,"HEP3001","integer",895720,895556,"100%",35,"191.713414634146","3","10","15.75","120","180","240","360","361","541"
431,"HEC3001","integer",895720,895219,"100%",397,"60656.8243512974","0","0","0","3977","30782","79451","220432","402886","896181"
432,"HEC3002","integer",895720,895155,"100%",432,"96405.1415929204","0","0","492.600000000006","27500","59000","115000","276639.199999999","537553.92","1530000"
433,"HET3001","character",895720,895153,"100%",5,"::895153","HE::505","RL::32","HI::16","SM::14","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
434,"HEP3002","integer",895720,895328,"100%",320,"531.665816326531","1","5.82","35.1","147.5","356","698.25","1542","3396.7","3794"
435,"HEC3003","integer",895720,895326,"100%",74,"108523.096446701","4800","5372","11395","30000","60000","150000","3e+05","627999.999999997","1500000"
436,"MHAGGBAL","integer",895720,347332,"39%",310612,"209432.446557912","0","0","21445.7","101812","171244.5","263432.25","508305.65","901823.42","12588989"
437,"PRIME_BANKCARD_PROPENSITY","integer",895720,0,"0%",994,"495.395986468986","0","0","77","401","531","632","731","793","999"
