"Obs","Name","Type","numobs","nmiss","per_miss","unique","mean_or_top1","min_or_top2","p1_or_top3","p5_or_top4","p25_or_top5","median_or_bot5","p75_or_bot4","p95_or_bot3","p99_or_bot2","max_or_bot1"
102,"SCRRE28","integer",895720,0,"0%",8861,"49486.389821596","0","0","0","11500","30700","61500","159100","318646.979999996","3572700"
103,"SCRRE32","integer",895720,0,"0%",72998,"10471.8736178717","0","0","0","696","2910","8053","41782.0499999999","143072.099999999","9999999"
104,"SCRRE33","integer",895720,0,"0%",91793,"14576.2493614076","0","0","0","890","4134","13234","59925","163712.67","9999999"
105,"RE34_IMPLIED","integer",895720,58190,"6%",1632,"281.505995009134","0","0","0","45","161","460","898","1005","9999"
106,"SCRRE35","integer",895720,54574,"6%",34323,"3170.03351974568","0","0","0","345","1076","2847","11489","34289.1000000001","1979646"
107,"SCRBI01","integer",895720,0,"0%",64,"1.56445206091189","0","0","0","0","1","2","6","12","114"
108,"SCRBI03","integer",895720,0,"0%",44,"0.456726432367258","0","0","0","0","0","1","2","5","46"
109,"SCRBI05","integer",895720,0,"0%",6,"0.02062809806636","0","0","0","0","0","0","0","1","5"
110,"SCRBI06","integer",895720,0,"0%",8,"0.0481132496762381","0","0","0","0","0","0","0","1","7"
111,"SCRBI07","integer",895720,0,"0%",11,"0.0960501049435091","0","0","0","0","0","0","1","2","16"
112,"SCRBI08","integer",895720,0,"0%",14,"0.14726253740008","0","0","0","0","0","0","1","2","20"
113,"SCRBI09","integer",895720,0,"0%",19,"0.196131603626133","0","0","0","0","0","0","1","2","24"
114,"SCRBI20","integer",895720,389137,"43%",436,"110.909582437626","0","4","17","76","119","145","182","256","543"
115,"SCRBI28","integer",895720,0,"0%",77286,"10792.4028613853","0","0","0","0","0","8598","53485.0999999999","128000","9999999"
116,"SCRFI01","integer",895720,0,"0%",114,"2.46007122761577","0","0","0","0","2","3","8","15","192"
117,"SCRFI03","integer",895720,0,"0%",17,"0.623648015004689","0","0","0","0","0","1","2","4","17"
118,"SCRFI05","integer",895720,0,"0%",10,"0.053907471084714","0","0","0","0","0","0","0","1","11"
119,"SCRFI06","integer",895720,0,"0%",14,"0.118769258250346","0","0","0","0","0","0","1","2","24"
120,"SCRFI07","integer",895720,0,"0%",23,"0.248423614522395","0","0","0","0","0","0","1","3","44"
121,"SCRFI08","integer",895720,0,"0%",32,"0.374898405751797","0","0","0","0","0","1","2","3","64"
122,"SCRFI09","integer",895720,0,"0%",39,"0.498886928951011","0","0","0","0","0","1","2","4","73"
123,"SCRIN03","integer",895720,0,"0%",49,"1.39535680793105","0","0","0","0","1","2","5","10","55"
124,"SCRIN05","integer",895720,0,"0%",10,"0.0779350689947751","0","0","0","0","0","0","1","1","11"
125,"SCRIN06","integer",895720,0,"0%",17,"0.181068860804716","0","0","0","0","0","0","1","2","24"
126,"SCRIN07","integer",895720,0,"0%",25,"0.368190952529808","0","0","0","0","0","1","2","3","44"
127,"SCRIN08","integer",895720,0,"0%",32,"0.562503907471085","0","0","0","0","0","1","2","4","64"
128,"SCRIN09","integer",895720,0,"0%",40,"0.74508886705667","0","0","0","0","0","1","3","5","73"
129,"SCRIN10","integer",895720,0,"0%",48,"1.41882173000491","0","0","0","0","1","2","5","10","57"
130,"SCRIN11","integer",895720,0,"0%",48,"1.42551466976287","0","0","0","0","1","2","5","11","57"
131,"SCRIN12","integer",895720,0,"0%",48,"1.42978609386862","0","0","0","0","1","2","5","11","57"
132,"SCRIN13","integer",895720,0,"0%",48,"1.43213057651945","0","0","0","0","1","2","5","11","57"
133,"SCRIN14","integer",895720,0,"0%",48,"1.43221207520207","0","0","0","0","1","2","5","11","57"
134,"SCRIN21","integer",895720,119533,"13%",380,"40.5412432828687","0","1","2","10","25","58","128","163","492"
135,"SCRIN28","integer",895720,0,"0%",128193,"29207.2543975796","0","0","0","0","17949","40000","102656","195826.48","9999999"
136,"SCRIN33","integer",895720,0,"0%",113003,"21465.9704717992","0","0","0","0","9204","27900","82686.0499999999","173101.289999999","6147046"
137,"IN34_IMPLIED","integer",895720,388413,"43%",1894,"662.8808453264","0","52","174","487","695","863","1000","1199","9999"
138,"SCRMT01","integer",895720,0,"0%",48,"2.02733331844773","0","0","0","0","2","3","6","8","100"
139,"SCRMT02","integer",895720,0,"0%",23,"0.633715893359532","0","0","0","0","1","1","2","3","29"
140,"SCRMT03","integer",895720,0,"0%",26,"0.643216630196937","0","0","0","0","1","1","2","3","36"
141,"SCRMT04","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
142,"SCRMT20","integer",895720,237474,"27%",492,"132.033973620804","0","8","33","110","138","155","214","287","549"
143,"SCRMT21","integer",895720,237474,"27%",486,"74.8683075932098","0","3","7","33","56","113","172","271","509"
144,"SCRMT22","integer",895720,386518,"43%",78,"0.552417311793748","0","0","0","0","0","1","2","3","116"
145,"SCRMT28","integer",895720,0,"0%",129948,"140925.109629125","0","0","0","0","1e+05","220172","440400","823000","9999999"
146,"SCRMT29","integer",895720,0,"0%",26,"0.664994641182512","0","0","0","0","1","1","2","3","36"
147,"SCRMT32","integer",895720,0,"0%",283736,"112268.551113071","0","0","0","0","67876","185358.25","365676.05","600825.67","9999999"
148,"SCRMT33","integer",895720,0,"0%",296677,"122377.679855312","0","0","0","0","69519","193278","401979.25","741967.05","9999999"
149,"MT34_IMPLIED","integer",895720,387925,"43%",1550,"841.200996465109","0","134","427","799","902","948","992","1000","9999"
150,"SCRMT35","integer",895720,386802,"43%",278131,"186902.08357928","1","10487","34251.85","101345","161077.5","238244","397680.45","674394.64","9999999"
151,"SCRMT36","integer",895720,790195,"88%",86,"26.8073916133618","0","0","0","4","22","44","71","79","175"
152,"SCRMT41","integer",895720,0,"0%",176,"1.56965569597642","0","0","0","0","0","0","10","37","718"
153,"SCRMT42","integer",895720,0,"0%",156,"0.930236011253517","0","0","0","0","0","0","4","26","711"
154,"SCRMT43","integer",895720,0,"0%",147,"0.694784084312062","0","0","0","0","0","0","1","21","705"
155,"SCRMT44","integer",895720,0,"0%",140,"0.587634528647345","0","0","0","0","0","0","0","19","701"
156,"SCRMT45","integer",895720,0,"0%",6,"0.00465547269235922","0","0","0","0","0","0","0","0","10"
157,"SCRMT46","integer",895720,0,"0%",24,"0.0828729960255437","0","0","0","0","0","0","0","3","47"
158,"SCRMT47","integer",895720,0,"0%",43,"0.196959987496093","0","0","0","0","0","0","0","8","107"
159,"SCRMT48","integer",895720,0,"0%",77,"0.449398249452954","0","0","0","0","0","0","1","15","229"
160,"SCRMT49","integer",895720,0,"0%",2,"0.0207218773723932","0","0","0","0","0","0","0","1","1"
161,"SCRMT50","integer",895720,0,"0%",2,"0.00933215737060689","0","0","0","0","0","0","0","0","1"
162,"SCRMT51","integer",895720,0,"0%",2,"0.00332804894386639","0","0","0","0","0","0","0","0","1"
163,"SCRMT52","integer",895720,0,"0%",2,"0.00139552538739785","0","0","0","0","0","0","0","0","1"
164,"SCRMT53","integer",895720,0,"0%",2,"0.00704349573527442","0","0","0","0","0","0","0","0","1"
165,"SCRMT54","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
166,"SCRMT55","integer",895720,786894,"88%",8,"3.77078087956922","2","2","2","2","4","5","5","9","9"
167,"SCRMT56","integer",895720,0,"0%",20611,"752.634204885455","0","0","0","0","0","0","2920","15902.4299999998","1419485"
168,"SCRMT57","integer",895720,0,"0%",9555,"241.106832492297","0","0","0","0","0","0","0","3668","650000"
169,"SCRPF02","integer",895720,0,"0%",17,"0.518060331353548","0","0","0","0","0","1","2","3","19"
170,"SCRPF03","integer",895720,0,"0%",18,"0.622864287947126","0","0","0","0","0","1","2","4","22"
171,"SCRPF05","integer",895720,0,"0%",8,"0.0420008484794355","0","0","0","0","0","0","0","1","10"
172,"SCRPF06","integer",895720,0,"0%",14,"0.093675478944313","0","0","0","0","0","0","1","1","22"
173,"SCRPF07","integer",895720,0,"0%",23,"0.197905595498593","0","0","0","0","0","0","1","2","42"
174,"SCRPF08","integer",895720,0,"0%",29,"0.295708480328674","0","0","0","0","0","0","1","3","61"
175,"SCRPF09","integer",895720,0,"0%",36,"0.387175679899969","0","0","0","0","0","1","2","3","70"
176,"SCRPF33","integer",895720,0,"0%",151868,"34427.2689657482","0","0","0","0","0","14422","228920","396589","9999999"
177,"PF34_IMPLIED","integer",895720,611335,"68%",1323,"494.112319566784","0","0","0","161","545","797","966","1000","4295"
178,"SCROF01","integer",895720,0,"0%",54,"1.56650850712276","0","0","0","0","1","2","6","11","71"
179,"SCROF03","integer",895720,0,"0%",17,"0.512637877908275","0","0","0","0","0","1","2","4","17"
180,"SCROF20","integer",895720,397863,"44%",485,"115.79330209277","0","4","15","66","116","148","256","347","549"
181,"SCROF28","integer",895720,0,"0%",85125,"18723.7269146608","0","0","0","0","0","13000","90457.1499999998","305000","9999999"
182,"SCROF29","integer",895720,0,"0%",16,"0.462080784173626","0","0","0","0","0","1","2","4","17"
183,"SCROF33","integer",895720,0,"0%",91281,"13855.292315679","0","0","0","0","0","4553","62141.0999999999","263789.48","7337997"
184,"SCROF36","integer",895720,835187,"93%",123,"31.1446483736144","0","0","1","8","26","52","75","80","196"
185,"SCRON01","integer",895720,0,"0%",8,"0.068060331353548","0","0","0","0","0","0","0","2","7"
186,"SCRON03","integer",895720,0,"0%",8,"0.0287333095163667","0","0","0","0","0","0","0","1","7"
187,"SCRON20","integer",895720,854020,"95%",615,"213.989136690647","0","3","24","120","205","301","419","495","853"
188,"SCRON33","integer",895720,0,"0%",1967,"5.57879694547403","0","0","0","0","0","0","0","70","32750"
189,"ON34_IMPLIED","integer",895720,875726,"98%",1127,"158.251475442633","0","0","0","0","35","173","829","1009","1510"
190,"SCRBC01","integer",895720,0,"0%",72,"5.63365002456125","0","0","1","3","5","8","14","20","104"
191,"SCRBC02","integer",895720,0,"0%",32,"1.87493189836109","0","0","0","1","2","3","5","8","49"
192,"SCRBC03","integer",895720,0,"0%",44,"2.98551779573974","0","0","0","1","2","4","8","11","74"
193,"SCRBC05","integer",895720,0,"0%",11,"0.0882184164694324","0","0","0","0","0","0","1","1","10"
194,"SCRBC06","integer",895720,0,"0%",13,"0.172868753628366","0","0","0","0","0","0","1","2","14"
195,"SCRBC07","integer",895720,0,"0%",19,"0.334577769838789","0","0","0","0","0","1","2","3","23"
196,"SCRBC08","integer",895720,0,"0%",25,"0.507443174206225","0","0","0","0","0","1","2","4","28"
197,"SCRBC09","integer",895720,0,"0%",28,"0.675910998972893","0","0","0","0","0","1","3","5","33"
198,"SCRBC10","integer",895720,0,"0%",44,"2.90208547313893","0","0","0","1","2","4","7","11","73"
199,"SCRBC11","integer",895720,0,"0%",43,"2.91427566650292","0","0","0","1","2","4","7","11","73"
200,"SCRBC12","integer",895720,0,"0%",44,"2.92704639842808","0","0","0","1","2","4","8","11","73"
201,"SCRBC13","integer",895720,0,"0%",44,"2.93940405483857","0","0","0","1","2","4","8","11","73"
202,"SCRBC14","integer",895720,0,"0%",44,"2.94487674719778","0","0","0","1","2","4","8","11","73"
203,"SCRBC21","integer",895720,106597,"12%",561,"57.6639509936981","0","1","2","11","29","84","200","316","671"
204,"SCRBC29","integer",895720,0,"0%",32,"1.87683874425044","0","0","0","1","2","3","5","8","49"
205,"BC30_IMPLIED","integer",895720,111166,"12%",193,"259.56311101594","0","0","0","0","0","500","1000","1000","1000"
206,"BC31_IMPLIED","integer",895720,111166,"12%",171,"180.120492662073","0","0","0","0","0","250","1000","1000","1000"
207,"BC34_IMPLIED","integer",895720,115380,"13%",1591,"296.866564574416","0","0","0","40","153","497","958","1024","9043"
208,"SCRBC35","integer",895720,111161,"12%",21289,"2367.75222641","0","0","0","371","1208","2984","8621","15945","946781"
209,"SCRBC36","integer",895720,711600,"79%",158,"28.9356669563328","0","0","0","8","24","45","74","81","169"
210,"SCRBC98","integer",895720,111161,"12%",107138,"26260.5267239303","0","0","176","5268","17934","37713","81340","127528.1","1042443"
211,"SCRPB03","integer",895720,0,"0%",30,"1.5666145670522","0","0","0","0","1","2","5","7","36"
212,"SCRPB05","integer",895720,0,"0%",8,"0.0317063368016791","0","0","0","0","0","0","0","1","9"
213,"SCRPB06","integer",895720,0,"0%",10,"0.0636906622605278","0","0","0","0","0","0","1","1","9"
214,"SCRPB07","integer",895720,0,"0%",13,"0.128044478185147","0","0","0","0","0","0","1","2","15"
215,"SCRPB08","integer",895720,0,"0%",18,"0.194851069530657","0","0","0","0","0","0","1","2","19"
216,"SCRPB09","integer",895720,0,"0%",22,"0.256915107399634","0","0","0","0","0","0","1","3","25"
217,"SCRPB10","integer",895720,0,"0%",29,"1.51741504041442","0","0","0","0","1","2","5","7","36"
218,"SCRPB11","integer",895720,0,"0%",29,"1.52444178984504","0","0","0","0","1","2","5","7","36"
219,"SCRPB12","integer",895720,0,"0%",29,"1.53187379984817","0","0","0","0","1","2","5","7","36"
220,"SCRPB13","integer",895720,0,"0%",29,"1.53896418523646","0","0","0","0","1","2","5","7","36"
221,"SCRPB14","integer",895720,0,"0%",29,"1.54214040101818","0","0","0","0","1","2","5","7","36"
222,"SCRPB20","integer",895720,240446,"27%",654,"199.26873948913","0","9","37","134","190","262","367","458","999"
223,"SCRPB21","integer",895720,240446,"27%",573,"83.5965687636012","0","1","4","22","64","122","235","335","722"
224,"SCRPB33","integer",895720,0,"0%",48822,"5161.91514982361","0","0","0","0","870","6068","23884.0499999999","47787.8099999999","2834175"
225,"SCRPB35","integer",895720,311807,"35%",25188,"3745.90547050674","0","0","0","489","1810","5267","13398","21439.88","946781"
226,"SCRRT01","integer",895720,0,"0%",45,"2.90880855624526","0","0","0","1","2","4","9","15","51"
227,"SCRRT03","integer",895720,0,"0%",36,"1.43330393426517","0","0","0","0","1","2","5","9","51"
228,"SCRRT05","integer",895720,0,"0%",15,"0.0529864243290314","0","0","0","0","0","0","0","1","19"
229,"SCRRT06","integer",895720,0,"0%",18,"0.093743580583218","0","0","0","0","0","0","1","2","19"
230,"SCRRT07","integer",895720,0,"0%",22,"0.177066493993659","0","0","0","0","0","0","1","2","48"
231,"SCRRT08","integer",895720,0,"0%",27,"0.273809895949627","0","0","0","0","0","0","1","3","48"
232,"SCRRT09","integer",895720,0,"0%",30,"0.35765641048542","0","0","0","0","0","0","2","4","48"
233,"SCRRT10","integer",895720,0,"0%",32,"1.09621421872907","0","0","0","0","1","2","4","7","38"
234,"SCRRT11","integer",895720,0,"0%",32,"1.12834926092975","0","0","0","0","1","2","4","7","47"
235,"SCRRT12","integer",895720,0,"0%",34,"1.16885633903452","0","0","0","0","1","2","4","7","51"
236,"SCRRT13","integer",895720,0,"0%",34,"1.1945072120752","0","0","0","0","1","2","5","7","51"
237,"SCRRT14","integer",895720,0,"0%",36,"1.21573036216675","0","0","0","0","1","2","5","8","51"
238,"SCRRT20","integer",895720,208292,"23%",667,"160.074144492223","0","6","25","93","137","209","375","464","818"
239,"SCRRT21","integer",895720,208292,"23%",601,"64.5153383336146","0","1","3","18","45","91","185","338","782"
240,"SCRRT28","integer",895720,0,"0%",2528,"2511.47447081677","0","0","0","0","500","3300","11200","20000","390100"
241,"SCRRT29","integer",895720,0,"0%",27,"0.497138614745679","0","0","0","0","0","1","2","5","27"
242,"SCRRT33","integer",895720,0,"0%",12163,"375.227012905819","0","0","0","0","0","73","2162","6624","280868"
243,"RT34_IMPLIED","integer",895720,427213,"48%",1628,"148.700023692282","0","0","0","0","12","169","793","1005","9999"
244,"SCRRT35","integer",895720,426870,"48%",6597,"313.505029327077","0","0","0","0","24","261","1550","3699","140434"
245,"SCRRT36","integer",895720,776703,"87%",139,"27.6084592957309","0","0","0","8","24","42","72","80","172"
246,"SCRUR03","integer",895720,0,"0%",2,"3.34926092975483e-06","0","0","0","0","0","0","0","0","1"
247,"SCRUR05","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
248,"SCRUR06","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
249,"SCRUR07","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
250,"SCRUR08","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
251,"SCRUR09","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
252,"SCRUR10","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
253,"SCRUR11","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
254,"SCRUR12","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
255,"SCRUR13","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
256,"SCRUR14","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
257,"SCRUR20","integer",895720,895711,"100%",10,"267.222222222222","180","181.2","186","202","214","343","419.6","450.32","458"
258,"SCRUR21","integer",895720,895711,"100%",10,"249.888888888889","180","181.2","186","202","214","302","354.4","360.48","362"
259,"SCRUR28","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
260,"SCRUR33","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
261,"SCRUR35","logical",895720,895720,"100%",1,"NA::895720","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
262,"SCRDS02","integer",895720,0,"0%",16,"0.379198856785603","0","0","0","0","0","1","2","4","16"
263,"SCRDS03","integer",895720,0,"0%",20,"0.927362345375787","0","0","0","0","0","1","4","5","19"
264,"SCRDS04","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
265,"SCRDS05","integer",895720,0,"0%",8,"0.03620216138972","0","0","0","0","0","0","0","1","7"
266,"SCRDS06","integer",895720,0,"0%",9,"0.0623386772652168","0","0","0","0","0","0","1","1","8"
267,"SCRDS07","integer",895720,0,"0%",12,"0.116416960657348","0","0","0","0","0","0","1","2","18"
268,"SCRDS08","integer",895720,0,"0%",15,"0.181582414147278","0","0","0","0","0","0","1","2","18"
269,"SCRDS09","integer",895720,0,"0%",18,"0.236321618362881","0","0","0","0","0","0","1","3","18"
270,"SCRDS10","integer",895720,0,"0%",18,"0.854630911445541","0","0","0","0","0","1","3","5","18"
271,"SCRDS11","integer",895720,0,"0%",19,"0.867739918724601","0","0","0","0","0","1","3","5","18"
272,"SCRDS12","integer",895720,0,"0%",19,"0.875859643638637","0","0","0","0","0","1","3","5","18"
273,"SCRDS13","integer",895720,0,"0%",20,"0.881245255213683","0","0","0","0","0","1","3","5","19"
274,"SCRDS14","integer",895720,0,"0%",20,"0.886054793908811","0","0","0","0","0","1","3","5","19"
275,"SCRDS21","integer",895720,263092,"29%",609,"73.8274467775691","0","1","4","23","54","101","215","365","782"
276,"SCRDS33","integer",895720,0,"0%",10975,"297.439934354486","0","0","0","0","0","10","1666","5659.80999999994","280868"
277,"SCRDS35","integer",895720,472516,"53%",6508,"323.059699341216","0","0","0","0","18","265","1636","3821","140434"
278,"SCRG001","integer",895720,0,"0%",136,"2.32983633278257","0","0","0","0","0","1","14","32","219"
279,"SCRG002","integer",895720,0,"0%",88,"0.74603894074041","0","0","0","0","0","0","4","13","161"
280,"SCRG003","integer",895720,0,"0%",90,"0.486321618362881","0","0","0","0","0","0","3","9","144"
281,"SCRG004","integer",895720,0,"0%",269,"1.50698097619792","0","0","0","0","0","0","8","36","701"
282,"SCRG005","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
283,"SCRG006","integer",895720,0,"0%",173,"3.07587527352298","0","0","0","0","0","2","18","42","317"
284,"SCRG007","integer",895720,0,"0%",338,"5.06917786808378","0","0","0","0","0","2","30","69","744"
285,"SCRG008","integer",895720,0,"0%",321,"2.73934153530121","0","0","0","0","0","0","16","49","711"
286,"SCRG009","integer",895720,0,"0%",303,"1.9933025945608","0","0","0","0","0","0","11","43","705"
287,"SCRG016","integer",895720,0,"0%",17,"0.0727571115973742","0","0","0","0","0","0","1","2","23"
288,"SCRG017","integer",895720,0,"0%",17,"0.108453534586701","0","0","0","0","0","0","1","2","23"
289,"SCRG018","integer",895720,0,"0%",17,"0.162221453132675","0","0","0","0","0","0","1","2","23"
290,"SCRG019","integer",895720,0,"0%",18,"0.210643951234761","0","0","0","0","0","0","1","3","23"
291,"SCRG020","integer",895720,0,"0%",20,"0.251606528825972","0","0","0","0","0","0","2","3","23"
292,"SCRG021","integer",895720,0,"0%",17,"0.0239148394587594","0","0","0","0","0","0","0","1","19"
293,"SCRG022","integer",895720,0,"0%",18,"0.0332112713794489","0","0","0","0","0","0","0","1","19"
294,"SCRG023","integer",895720,0,"0%",20,"0.0544243736882061","0","0","0","0","0","0","0","1","19"
295,"SCRG024","integer",895720,0,"0%",20,"0.0595453936498013","0","0","0","0","0","0","0","1","19"
296,"SCRG025","integer",895720,0,"0%",20,"0.0708357522440048","0","0","0","0","0","0","1","2","19"
297,"SCRG026","integer",895720,0,"0%",24,"0.0156857053543518","0","0","0","0","0","0","0","1","28"
298,"SCRG027","integer",895720,0,"0%",25,"0.0211740275979101","0","0","0","0","0","0","0","1","28"
299,"SCRG028","integer",895720,0,"0%",24,"0.0291720626981646","0","0","0","0","0","0","0","1","37"
300,"SCRG029","integer",895720,0,"0%",25,"0.0362356539990175","0","0","0","0","0","0","0","1","37"
301,"SCRG030","integer",895720,0,"0%",26,"0.0422252489617291","0","0","0","0","0","0","0","1","37"
302,"SCRG041","integer",895720,0,"0%",58,"1.37059795471799","0","0","0","0","0","2","7","12","75"
303,"SCRG042","integer",895720,0,"0%",54,"0.863764346000982","0","0","0","0","0","1","5","10","72"
304,"SCRG043","integer",895720,0,"0%",52,"0.692593667664002","0","0","0","0","0","0","4","9","72"
305,"SCRG044","integer",895720,0,"0%",52,"0.595202741928281","0","0","0","0","0","0","4","9","70"
306,"SCRG045","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
307,"SCRG046","integer",895720,0,"0%",127,"16.4736602956281","0","1","3","9","15","22","35","48","195"
308,"SCRG047","integer",895720,0,"0%",130,"16.9804939043451","0","2","4","10","15","22","36","48","196"
309,"SCRG048","integer",895720,0,"0%",129,"17.1516645826821","0","2","4","10","15","23","36","49","196"
310,"SCRG049","integer",895720,0,"0%",131,"17.2490555084178","0","2","4","10","16","23","36","49","196"
311,"SCRG050","integer",895720,0,"0%",131,"17.8442582503461","2","3","5","10","16","23","37","50","196"
312,"G051_IMPLIED","integer",895720,5,"0%",721,"910.92885125291","0","250","524","900","1000","1000","1000","1000","1000"
313,"SCRG057","integer",895720,0,"0%",32,"0.15792993346135","0","0","0","0","0","0","1","3","42"
314,"SCRG058","integer",895720,0,"0%",34,"0.232139507881927","0","0","0","0","0","0","1","4","42"
315,"SCRG059","integer",895720,0,"0%",40,"0.357189746795874","0","0","0","0","0","0","2","5","43"
316,"SCRG060","integer",895720,0,"0%",41,"0.472872102889296","0","0","0","0","0","0","3","6","43"
317,"SCRG061","integer",895720,0,"0%",41,"0.57294467020944","0","0","0","0","0","0","3","7","43"
318,"SCRG062","integer",895720,0,"0%",31,"0.0851728218639753","0","0","0","0","0","0","0","2","42"
319,"SCRG063","integer",895720,0,"0%",32,"0.123685973295226","0","0","0","0","0","0","1","3","42"
320,"SCRG064","integer",895720,0,"0%",38,"0.194968293663198","0","0","0","0","0","0","1","4","43"
321,"SCRG065","integer",895720,0,"0%",39,"0.262228151654535","0","0","0","0","0","0","2","5","43"
322,"SCRG066","integer",895720,0,"0%",39,"0.321338141383468","0","0","0","0","0","0","2","6","43"
323,"SCRG067","integer",895720,0,"0%",30,"0.0612579824052159","0","0","0","0","0","0","0","2","42"
324,"SCRG068","integer",895720,0,"0%",33,"0.0904747019157773","0","0","0","0","0","0","0","2","42"
325,"SCRG069","integer",895720,0,"0%",35,"0.148554235698656","0","0","0","0","0","0","1","3","43"
326,"SCRG070","integer",895720,0,"0%",37,"0.202682758004734","0","0","0","0","0","0","1","4","43"
327,"SCRG071","integer",895720,0,"0%",38,"0.250502389139463","0","0","0","0","0","0","1","5","43"
328,"SCRG082","integer",895720,0,"0%",31,"0.119508328495512","0","0","0","0","0","0","1","2","42"
329,"SCRG083","integer",895720,0,"0%",18,"0.0465636582860715","0","0","0","0","0","0","0","1","23"
330,"SCRG084","integer",895720,0,"0%",17,"0.0180145581208413","0","0","0","0","0","0","0","1","19"
331,"SCRG085","integer",895720,0,"0%",24,"0.012991783146519","0","0","0","0","0","0","0","0","28"
332,"SCRG086","integer",895720,0,"0%",28,"0.0350265708033761","0","0","0","0","0","0","0","1","42"
333,"SCRG087","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
334,"SCRG088","integer",895720,0,"0%",26,"0.0775699995534319","0","0","0","0","0","0","1","2","28"
335,"SCRG089","integer",895720,528947,"59%",8,"5.11805121969174","2","2","2","2","4","9","9","9","9"
336,"SCRG091","integer",895720,0,"0%",11369,"301.122770508641","0","0","0","0","0","0","102","5115","650000"
337,"SCRG093","integer",895720,0,"0%",50,"0.0964330371098111","0","0","0","0","0","0","1","2","128"
338,"SCRG094","integer",895720,0,"0%",3,"3.34926092975483e-06","0","0","0","0","0","0","0","0","2"
339,"SCRG095","integer",895720,846583,"95%",121,"44.7459348352565","0","2","6","23","45","65","82","113","119"
340,"SCRG096","integer",895720,0,"0%",82,"2.26257870763185","0","0","0","0","1","3","8","15","106"
341,"SCRG098","integer",895720,0,"0%",40,"0.634533113026392","0","0","0","0","0","1","3","6","52"
342,"SCRG102","integer",895720,311021,"35%",26,"8.31381958922454","0","0","0","3","7","13","21","23","24"
343,"SCRG103","integer",895720,0,"0%",7,"0.0541318715670076","0","0","0","0","0","0","0","1","6"
344,"SCRG104","integer",895720,0,"0%",775,"293.582619568615","1","70","137","222","306","361","437","493","1021"
345,"SCRS002","integer",895720,0,"0%",427,"6750.95408609833","5103","5108","5302","5912","6707","7511","8309","8509","8609"
346,"SCRS004","integer",895720,0,"0%",436,"104.87640334033","1","23","48","82","101","124","170","221","546"
347,"SCRS008","integer",895720,0,"0%",21,"1.38869066226053","0","0","0","0","1","2","4","6","35"
348,"SCRS009","integer",895720,0,"0%",77,"6.59813222882151","0","0","1","3","6","9","15","22","104"
349,"SCRS010","integer",895720,0,"0%",45,"3.15562340910106","0","0","0","1","3","4","8","12","74"
350,"SCRS011","integer",895720,0,"0%",69,"7.67092841512973","0","1","2","4","7","10","17","24","96"
351,"SCRS012","integer",895720,0,"0%",61,"5.47055664716653","0","0","0","2","5","7","14","19","80"
352,"SCRS014","integer",895720,0,"0%",16,"0.609987496092529","0","0","0","0","0","1","2","4","16"
353,"SCRS015","integer",895720,0,"0%",37,"2.11386594024918","0","0","0","0","2","3","6","9","60"
354,"SCRS018","integer",895720,0,"0%",23,"0.384481757692136","0","0","0","0","0","1","2","3","44"
355,"SCRS019","integer",895720,0,"0%",14,"0.314290179966954","0","0","0","0","0","0","2","3","13"
356,"SCRS020","integer",895720,0,"0%",8,"0.163474076720404","0","0","0","0","0","0","1","2","7"
357,"SCRS027","integer",895720,106656,"12%",461,"40.0333204911135","0","1","2","9","25","55","126","172","481"
358,"SCRS040","integer",895720,0,"0%",900,"1567.91256084491","0","0","0","0","400","2100","6500","10500","3e+05"
359,"SCRS043","integer",895720,0,"0%",36,"1.13187491626848","0","0","0","0","0","2","5","9","40"
360,"S046_IMPLIED","integer",895720,6772,"1%",462,"720.843763639718","0","0","286","545","750","1000","1000","1000","1000"
361,"SCRS054","integer",895720,0,"0%",76,"13.7222000178627","1","2","4","8","13","18","27","35","81"
362,"SCRS055","integer",895720,0,"0%",132,"17.7219354262493","1","3","5","10","16","23","37","49","196"
363,"SCRS059","integer",895720,0,"0%",78,"0.724122493636404","0","0","0","0","0","0","5","10","133"
